cell_sig	resource_meta	P1: Classical Greek (500–360 BCE)	P2: Late Classical (354–165 BCE)	P3: Hellenistic & Roman (165 BCE – 205 CE)	trajectory	n_periods_observed	net_drift_p1_to_p3
*/*/*/*/*/*	Access to public honors	0	0	5	00+	1	5
*/*/*/*/*/*	Access to religious rites	2	0	-2	+0−	2	-4
*/*/*/*/*/*	Access to the gymnasium	1	1	1	+++	3	0
*/*/*/*/*/*	Eligibility for public office	8	2	3	+++	3	-5
*/*/*/*/*/*	Exemption from compulsory public financing	-2	-1	0	−−0	2	2
*/*/*/*/*/*	Exemption from legal audit	-1	1	0	−+0	2	1
*/*/*/*/*/*	Exemption from manual labor	1	2	-1	++−	3	-2
*/*/*/*/*/*	Exemption from military service	3	0	0	+00	1	-3
*/*/*/*/*/*	Exemption from taxes	-1	1	0	−+0	2	1
*/*/*/*/*/*	Political power	1	3	3	+++	3	2
*/*/*/*/*/*	Protection from arbitrary banishment	0	1	0	0+0	1	0
*/*/*/*/*/*	Protection from capital punishment	-1	-2	-1	−−−	3	0
*/*/*/*/*/*	Protection from corporal punishment	-1	2	-2	−+−	3	-1
*/*/*/*/*/*	Protection from enslavement	0	1	2	0++	2	2
*/*/*/*/*/*	Protection from legal prosecution	0	0	0	000	0	0
*/*/*/*/*/*	Protection from public libel	0	0	1	00+	1	1
*/*/*/*/*/*	Right to a legal trial	12	10	4	+++	3	-8
*/*/*/*/*/*	Right to address the assembly	-1	0	0	−00	1	1
*/*/*/*/*/*	Right to bear arms	-1	0	-3	−0−	2	-2
*/*/*/*/*/*	Right to bodily autonomy	1	0	-1	+0−	2	-2
*/*/*/*/*/*	Right to citizenship	0	-3	-2	0−−	2	-2
*/*/*/*/*/*	Right to dispose of property	-1	0	0	−00	1	1
*/*/*/*/*/*	Right to drink wine	0	0	-1	00−	1	-1
*/*/*/*/*/*	Right to free speech	1	0	-1	+0−	2	-2
*/*/*/*/*/*	Right to freedom of movement	-1	1	0	−+0	2	1
*/*/*/*/*/*	Right to inherit divine covenant	0	0	1	00+	1	1
*/*/*/*/*/*	Right to inherit property	1	-2	0	+−0	2	-1
*/*/*/*/*/*	Right to military protection	0	0	1	00+	1	1
*/*/*/*/*/*	Right to own land	0	-1	-1	0−−	2	-1
*/*/*/*/*/*	Right to own property	0	-1	-1	0−−	2	-1
*/*/*/*/*/*	Right to professional judgement	0	0	1	00+	1	1
*/*/*/*/*/*	Right to remuneration for office	2	3	1	+++	3	-1
*/*/*/*/*/*	Right to reside in the city	-1	-2	-1	−−−	3	0
*/*/*/*/*/*	Right to retain own earnings	4	0	1	+0+	2	-3
*/*/*/*/*/*	Right to retain property	0	-2	0	0−0	1	0
*/*/*/*/*/*	Right to vote in the Ekklesia	1	3	0	++0	2	-1
*/*/*/*/*/High	Access to public honors	0	0	0	000	0	0
*/*/*/*/*/High	Access to the gymnasium	1	0	0	+00	1	-1
*/*/*/*/*/High	Eligibility for public office	1	1	1	+++	3	0
*/*/*/*/*/High	Exemption from compulsory public financing	-3	-3	-1	−−−	3	2
*/*/*/*/*/High	Exemption from legal audit	-1	0	0	−00	1	1
*/*/*/*/*/High	Exemption from manual labor	0	1	0	0+0	1	0
*/*/*/*/*/High	Exemption from taxes	0	-5	0	0−0	1	0
*/*/*/*/*/High	Political power	1	2	0	++0	2	-1
*/*/*/*/*/High	Protection from arbitrary banishment	0	0	-1	00−	1	-1
*/*/*/*/*/High	Protection from enslavement	0	-1	0	0−0	1	0
*/*/*/*/*/High	Protection from public libel	-1	0	0	−00	1	1
*/*/*/*/*/High	Right to citizenship	1	0	0	+00	1	-1
*/*/*/*/*/High	Right to dispose of property	0	0	1	00+	1	1
*/*/*/*/*/High	Right to own land	0	-1	-1	0−−	2	-1
*/*/*/*/*/High	Right to retain own earnings	-1	-1	0	−−0	2	1
*/*/*/*/*/High	Right to retain property	-2	1	-2	−+−	3	0
*/*/*/*/*/High	Right to valid professional opinion	1	0	0	+00	1	-1
*/*/*/*/*/Low	Access to public honors	1	0	0	+00	1	-1
*/*/*/*/*/Low	Access to religious rites	0	1	0	0+0	1	0
*/*/*/*/*/Low	Eligibility for public office	1	-1	0	+−0	2	-1
*/*/*/*/*/Low	Exemption from compulsory public financing	0	0	0	000	0	0
*/*/*/*/*/Low	Exemption from manual labor	0	-1	0	0−0	1	0
*/*/*/*/*/Low	Exemption from public service financing	0	1	0	0+0	1	0
*/*/*/*/*/Low	Political power	0	0	0	000	0	0
*/*/*/*/*/Low	Protection from corporal punishment	0	0	0	000	0	0
*/*/*/*/*/Low	Right to a legal trial	0	0	-1	00−	1	-1
*/*/*/*/*/Low	Right to address the assembly	1	0	0	+00	1	-1
*/*/*/*/*/Low	Right to bear arms	0	-1	0	0−0	1	0
*/*/*/*/*/Low	Right to citizenship	-1	-1	0	−−0	2	1
*/*/*/*/*/Low	Right to own property	0	1	0	0+0	1	0
*/*/*/*/*/Low	Right to remuneration for office	0	4	0	0+0	1	0
*/*/*/*/*/Low	Right to retain own earnings	0	1	0	0+0	1	0
*/*/*/*/*/Low	Right to retain property	0	0	-1	00−	1	-1
*/*/*/*/*/Low	Right to vote in the Ekklesia	0	0	0	000	0	0
*/*/*/*/*/Middle	Eligibility for public office	0	2	0	0+0	1	0
*/*/*/*/*/Middle	Right to vote in the Ekklesia	0	0	0	000	0	0
*/*/*/*/Non resident/*	Eligibility for public office	0	-1	0	0−0	1	0
*/*/*/*/Non resident/*	Protection from arbitrary banishment	0	1	0	0+0	1	0
*/*/*/*/Non resident/*	Protection from legal prosecution	1	0	0	+00	1	-1
*/*/*/*/Non resident/High	Right to retain property	-1	0	0	−00	1	1
*/*/*/*/Resident/*	Access to public honors	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Access to religious rites	0	0	1	00+	1	1
*/*/*/*/Resident/*	Political power	0	1	0	0+0	1	0
*/*/*/*/Resident/*	Protection from arbitrary banishment	1	-1	0	+−0	2	-1
*/*/*/*/Resident/*	Protection from enslavement	0	0	-1	00−	1	-1
*/*/*/*/Resident/*	Protection from legal prosecution	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Right to a legal trial	1	1	0	++0	2	-1
*/*/*/*/Resident/*	Right to address the assembly	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Right to bear arms	0	-1	0	0−0	1	0
*/*/*/*/Resident/*	Right to citizenship	1	-1	0	+−0	2	-1
*/*/*/*/Resident/*	Right to freedom of movement	0	-1	0	0−0	1	0
*/*/*/*/Resident/*	Right to reside in the city	0	-2	1	0−+	2	1
*/*/*/*/Resident/High	Eligibility for public office	0	0	1	00+	1	1
*/*/*/*/Resident/High	Right to retain own earnings	-1	0	0	−00	1	1
*/*/*/*/Resident/High	Right to retain property	0	-1	0	0−0	1	0
*/*/*/Foreign/*/*	Access to public honors	0	1	0	0+0	1	0
*/*/*/Foreign/*/*	Eligibility for public office	2	0	0	+00	1	-2
*/*/*/Foreign/*/*	Political power	1	0	0	+00	1	-1
*/*/*/Foreign/*/*	Right to a legal trial	0	0	-1	00−	1	-1
*/*/*/Foreign/*/*	Right to address the assembly	0	0	-1	00−	1	-1
*/*/*/Foreign/*/*	Right to inherit property	0	1	0	0+0	1	0
*/*/*/Foreign/*/*	Right to own land	0	0	-1	00−	1	-1
*/*/*/Foreign/*/*	Right to own property	0	1	0	0+0	1	0
*/*/*/Foreign/*/*	Right to reside in the city	0	0	-1	00−	1	-1
*/*/*/Foreign/*/*	Right to retain own earnings	0	1	0	0+0	1	0
*/*/*/Foreign/*/*	Right to vote in the Ekklesia	0	0	1	00+	1	1
*/*/*/Foreign/Non resident/*	Right to citizenship	0	0	1	00+	1	1
*/*/*/Foreign/Resident/*	Exemption from taxes	0	-1	-1	0−−	2	-1
*/*/*/Foreign/Resident/*	Political power	-1	0	0	−00	1	1
*/*/*/Foreign/Resident/*	Right to a legal trial	-1	0	0	−00	1	1
