cell_sig	resource_meta	P1: Classical Greek (500–360 BCE)	P2: Late Classical (354–165 BCE)	P3: Hellenistic & Roman (165 BCE – 205 CE)	trajectory	n_periods_observed	net_drift_p1_to_p3
*/*/*/*/*/*	Protection from enslavement	0	0	-1	00−	1	-1
*/*/*/*/*/*	Right to citizenship	0	0	1	00+	1	1
*/*/*/*/*/*	Right to free speech	1	0	0	+00	1	-1
*/*/*/*/*/*	Right to inherit divine covenant	0	0	1	00+	1	1
*/*/*/*/*/*	Right to own property	0	-1	0	0−0	1	0
*/*/*/*/*/Low	Right to vote in the Ekklesia	0	0	1	00+	1	1
*/*/*/*/Non resident/*	Protection from corporal punishment	0	0	-1	00−	1	-1
*/*/*/*/Non resident/*	Right to a legal trial	0	-1	0	0−0	1	0
*/*/*/*/Resident/*	Access to religious rites	-1	0	0	−00	1	1
*/*/*/*/Resident/*	Access to the gymnasium	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Protection from capital punishment	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Protection from corporal punishment	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Protection from legal prosecution	-1	0	0	−00	1	1
*/*/*/*/Resident/*	Right to address the assembly	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Right to bodily autonomy	1	0	0	+00	1	-1
*/*/*/*/Resident/*	Right to professional judgement	-1	0	0	−00	1	1
*/*/*/*/Resident/Low	Right to professional judgement	0	0	1	00+	1	1
*/*/*/Foreign/*/*	Political power	0	0	-1	00−	1	-1
*/*/*/Foreign/*/*	Protection from capital punishment	1	0	0	+00	1	-1
*/*/*/Foreign/*/*	Protection from enslavement	0	0	-1	00−	1	-1
*/*/*/Foreign/*/*	Right to a legal trial	1	0	-1	+0−	2	-2
*/*/*/Foreign/*/*	Right to citizenship	0	0	1	00+	1	1
*/*/*/Foreign/*/*	Right to inherit property	0	-1	0	0−0	1	0
*/*/*/Foreign/Resident/*	Access to the gymnasium	0	1	0	0+0	1	0
*/*/*/Foreign/Resident/*	Eligibility for public office	1	0	0	+00	1	-1
*/*/*/Foreign/Resident/*	Right to citizenship	1	0	0	+00	1	-1
*/*/*/Foreign/Resident/*	Right to own land	0	0	1	00+	1	1
*/*/*/Foreign/Resident/Low	Protection from enslavement	0	-1	0	0−0	1	0
*/*/*/Native/*/*	Access to religious rites	0	0	-1	00−	1	-1
*/*/*/Native/*/*	Political power	0	0	-1	00−	1	-1
*/*/*/Native/*/*	Right to drink wine	0	0	-3	00−	1	-3
*/*/*/Native/*/*	Right to valid professional opinion	-1	0	0	−00	1	1
*/*/*/Native/Resident/*	Access to religious rites	0	0	1	00+	1	1
*/*/*/Native/Resident/*	Exemption from taxes	0	0	1	00+	1	1
*/*/*/Native/Resident/*	Political power	0	0	-1	00−	1	-1
*/*/*/Native/Resident/*	Right to free speech	0	0	1	00+	1	1
*/*/Enslaved/*/Resident/Low	Access to religious rites	0	0	-1	00−	1	-1
*/*/Enslaved/*/Resident/Low	Access to the gymnasium	-1	0	0	−00	1	1
*/*/Enslaved/*/Resident/Low	Exemption from manual labor	-1	0	0	−00	1	1
*/*/Enslaved/*/Resident/Low	Political power	-1	-2	0	−−0	2	1
*/*/Enslaved/*/Resident/Low	Protection from capital punishment	0	1	0	0+0	1	0
*/*/Enslaved/*/Resident/Low	Protection from corporal punishment	-9	-6	-2	−−−	3	7
*/*/Enslaved/*/Resident/Low	Protection from enslavement	0	-1	0	0−0	1	0
*/*/Enslaved/*/Resident/Low	Protection from legal prosecution	1	0	0	+00	1	-1
*/*/Enslaved/*/Resident/Low	Right to a legal trial	2	1	0	++0	2	-2
*/*/Enslaved/*/Resident/Low	Right to bear arms	0	-1	1	0−+	2	1
*/*/Enslaved/*/Resident/Low	Right to bodily autonomy	0	-1	1	0−+	2	1
*/*/Enslaved/*/Resident/Low	Right to drink wine	0	0	-2	00−	1	-2
*/*/Enslaved/*/Resident/Low	Right to free speech	-1	-1	0	−−0	2	1
*/*/Enslaved/*/Resident/Low	Right to own land	0	-1	0	0−0	1	0
*/*/Enslaved/*/Resident/Low	Right to own property	0	-1	0	0−0	1	0
*/*/Enslaved/*/Resident/Low	Right to retain own earnings	-1	2	0	−+0	2	1
*/*/Enslaved/*/Resident/Low	Right to retain property	1	0	0	+00	1	-1
*/*/Enslaved/*/Resident/Low	Right to valid professional opinion	0	-2	0	0−0	1	0
*/*/Enslaved/*/Resident/Low	Right to vote in the Ekklesia	0	-1	0	0−0	1	0
*/*/Enslaved/Foreign/Resident/Low	Protection from enslavement	0	0	1	00+	1	1
*/*/Enslaved/Foreign/Resident/Low	Right to a legal trial	1	0	0	+00	1	-1
