cell_sig	resource_meta	MORE	LESS	net	essential_axes	essential_axes_list	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	period3
*/*/*/*/*/*	Exemption from military service	3	0	3	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/Adult/Free/*/*/*	Right to retain property	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	adult	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/*/*	Right to adopt	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Minor/Free/*/*/*	Right to citizenship	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	minor	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to address the assembly	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	unspecified	any	any	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	any	any	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to bodily autonomy	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to free speech	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Right to valid professional opinion	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Access to public honors	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	low	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Right to address the assembly	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	low	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Access to public honors	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from arbitrary banishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to address the assembly	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Right to a legal trial	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	any	unspecified	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Right to dispose of property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	foreign	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/Native/Resident/*	Right to reside in the city	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	native	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/Foreign/*/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	enslaved	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Right to bodily autonomy	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	any	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/*	Right to reside in the city	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	foreign	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/Resident/*	Right to vote in the Ekklesia	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	native	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/Minor/*/*/*/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/Minor/*/*/*/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/Minor/Free/*/*/Low	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	free	unspecified	unspecified	low	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/*/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	free	native	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/*/*/Native/*/*	Right to bodily autonomy	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	unspecified	unspecified	native	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/Adult/*/*/*/*	Right to own property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	adult	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/Adult/Free/Native/*/Low	Right to a dowry	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	adult	free	native	unspecified	low	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Protection from public libel	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/High	Exemption from military service	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
Male/*/*/Foreign/*/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Enslaved/*/*/*	Protection from legal prosecution	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	enslaved	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Enslaved/*/*/*	Right to retain property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	enslaved	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Adult/*/*/Non resident/High	Right to retain property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	unspecified	unspecified	non_resident	high	P1: Classical Greek (500–360 BCE)
Male/Adult/*/Foreign/*/*	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	unspecified	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/*/*	Right to dispose of property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	native	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Minor/*/*/*/*	Access to public honors	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	minor	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to retain own earnings	4	0	4	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Eligibility for public office	2	0	2	5	c_sex, c_age, c_ownership_status, c_ancestry, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Access to religious rites	3	1	2	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to remuneration for office	2	0	2	5	c_sex, c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Eligibility for public office	2	0	2	5	c_sex, c_age, c_ownership_status, c_residence, c_wealth	unspecified	unspecified	unspecified	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Right to remuneration for office	2	0	2	5	c_sex, c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/*/*	Right to a legal trial	2	0	2	5	c_sex, c_age, c_ownership_status, c_residence, c_wealth	unspecified	unspecified	free	native	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/Adult/Free/*/*/*	Right to a dowry	2	0	2	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	female	adult	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Right to a legal trial	2	0	2	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Right to citizenship	2	0	2	5	c_sex, c_age, c_ownership_status, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Adult/*/*/*/*	Eligibility for public office	2	0	2	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Exemption from manual labor	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to inherit property	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to vote in the Ekklesia	1	0	1	5	c_sex, c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Access to the gymnasium	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Political power	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Eligibility for public office	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	low	P1: Classical Greek (500–360 BCE)
*/*/*/*/Non resident/*	Protection from legal prosecution	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_wealth	unspecified	unspecified	unspecified	unspecified	non_resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from legal prosecution	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_wealth	unspecified	unspecified	unspecified	unspecified	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to a legal trial	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_wealth	unspecified	unspecified	unspecified	unspecified	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Political power	1	0	1	5	c_sex, c_age, c_ownership_status, c_residence, c_wealth	unspecified	unspecified	unspecified	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/*/*	Right to a legal trial	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	unspecified	enslaved	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Protection from corporal punishment	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Protection from legal prosecution	1	0	1	5	c_sex, c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Right to vote in the Ekklesia	1	0	1	5	c_sex, c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/*/*/*/*/*	Access to religious rites	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/*/*/*/*/*	Right to address the assembly	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/*/*/*/*/*	Right to retain own earnings	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/*/Free/*/*/*	Right to a dowry	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	female	any	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/*/Free/*/*/*	Right to a dowry	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	female	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Female/Adult/Free/*/*/*	Right to bodily autonomy	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	adult	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Access to religious rites	2	1	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Exemption from manual labor	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Right to address the assembly	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/High	Right to inherit property	1	0	1	5	c_sex, c_age, c_ownership_status, c_ancestry, c_residence	male	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
Male/*/*/Foreign/*/*	Right to citizenship	1	0	1	5	c_sex, c_age, c_ownership_status, c_residence, c_wealth	male	unspecified	unspecified	foreign	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/*/*	Right to inherit property	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	male	any	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/*/*	Protection from capital punishment	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/*/*	Protection from corporal punishment	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/*/*	Political power	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/*/*	Protection from capital punishment	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/*/*	Right to bodily autonomy	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Elder/*/*/*/*	Political power	1	0	1	5	c_sex, c_ownership_status, c_ancestry, c_residence, c_wealth	male	elder	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/Minor/*/*/*/*	Access to the gymnasium	1	0	1	5	c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	minor	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
