cell_sig	resource_meta	MORE	LESS	net	essential_axes	essential_axes_list	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	period3
Male/Adult/Free/Native/Resident/*	Right to a legal trial	20	0	20	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	native	resident	any	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Protection from legal prosecution	6	1	5	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	native	resident	any	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to a dowry	4	0	4	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	any	any	unspecified	resident	any	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to remuneration for office	3	0	3	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	native	resident	any	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to vote in the Ekklesia	3	0	3	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	native	resident	any	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/*/High	Eligibility for public office	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Right to retain own earnings	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	any	resident	any	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/Middle	Exemption from military service	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	resident	middle	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to retain property	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	female	any	any	unspecified	resident	any	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to citizenship	4	2	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	male	adult	free	native	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to free speech	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	any	any	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Access to the gymnasium	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	any	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	any	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to address the assembly	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	any	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	unspecified	any	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	foreign	any	any	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Right to a legal trial	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	foreign	any	any	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	foreign	resident	any	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Eligibility for public office	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	foreign	resident	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Protection from legal prosecution	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	enslaved	any	resident	low	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Right to retain property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	enslaved	any	resident	low	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/*	Right to bodily autonomy	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	any	resident	any	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/Low	Eligibility for public office	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	unspecified	resident	low	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/Low	Right to address the assembly	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	unspecified	resident	low	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Eligibility for public office	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	foreign	unspecified	any	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	foreign	unspecified	any	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	foreign	resident	any	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/*/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	native	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/Non resident/*	Right to retain property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	native	non_resident	any	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/Resident/*	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	free	native	resident	any	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Exemption from military service	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	any	resident	any	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Right to professional judgement	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	resident	any	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Right to retain property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	any	resident	high	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Access to the gymnasium	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	resident	high	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Political power	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	resident	high	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	resident	high	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	adult	free	unspecified	resident	high	P1: Classical Greek (500–360 BCE)
