file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0003.tlg001.perseus-eng6	tlg0003.tlg001	Thucydides	Q639493	History of the Peloponnesian War	0	1	English	tlg0003	Q41683	-425	eng	tlg0003/tlg001/tlg0003.tlg001.perseus-eng6.xml	Richard Crawley	1914	2626805	450854	1803	History of the Peloponnesian War	Thucydides	historical non-fiction work	historiography		100
tlg0003.tlg001.1st1K-eng1	tlg0003.tlg001	Thucydides	Q639493	History of the Peloponnesian War	1	1	English	tlg0003	Q41683	-425	eng; grc	tlg0003/tlg001/tlg0003.tlg001.1st1K-eng1.xml	Charles Foster Smith	1919-1923	1414543	243879	976	The Peloponnesian War	Thucydides	historical non-fiction work	historiography		100
tlg0003.tlg001.perseus-eng4	tlg0003.tlg001	Thucydides	Q50809824	Istoriya	0	1	English	tlg0003	Q41683	-425	eng; grc; lat	tlg0003/tlg001/tlg0003.tlg001.perseus-eng4.xml	Thomas Hobbes	1843	1289316	225806	903	The History of the Grecian War	Thucydides	version, edition or translation			82
tlg0003.tlg001.1st1K-ger1	tlg0003.tlg001	Thucydides	Q50809824	Istoriya	0	1	German	tlg0003	Q41683	-425	deu; eng; grc; lat	tlg0003/tlg001/tlg0003.tlg001.1st1K-ger1.xml	Heinrich Gürsching	1856	59080	7076	28	Vier Staatsreden aus Thucydides	Thucydides	version, edition or translation			65
tlg0003.tlg001.perseus-grc2	tlg0003.tlg001	Thucydides			0	1	Greek	tlg0003	Q41683	-425	grc; eng	tlg0003/tlg001/tlg0003.tlg001.perseus-grc2.xml	Henry Stuart Jones	1910	1358318	150397	602	Ἱστορίαι					0
tlg0004.tlg001.perseus-eng2	tlg0004.tlg001	Diogenes Laertius	Q61632188	Lives of Eminent Philosophers 2.5. Socrates	1	1	English	tlg0004	Q59138	210	eng; grc; lat; fre	tlg0004/tlg001/tlg0004.tlg001.perseus-eng2.xml	R. D. Hicks	1925	998815	174147	697	Lives of Eminent Philosophers	Diogenes Laërtius	version, edition or translation			100
tlg0004.tlg001.perseus-grc2	tlg0004.tlg001	Diogenes Laertius			0	1	Greek	tlg0004	Q59138	210	grc; eng; lat; fre	tlg0004/tlg001/tlg0004.tlg001.perseus-grc2.xml	R. D. Hicks	1925	713456	110952	444	Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων					0
tlg0006.tlg009.perseus-eng2	tlg0006.tlg009	Euripides	Q63400067	Heracles Mad	1	0	English	tlg0006	Q48305	-445	eng; grc	tlg0006/tlg009/tlg0006.tlg009.perseus-eng2.xml	Edward P. Coleridge	1891	70905	13041	52	Heracles	Euripides	version, edition or translation, translation work			100
tlg0006.tlg007.perseus-eng2	tlg0006.tlg007	Euripides	Q1115611	Hecuba	1	0	English	tlg0006	Q48305	-445	eng; grc	tlg0006/tlg007/tlg0006.tlg007.perseus-eng2.xml	Edward P. Coleridge	1891	62898	11646	47	Hecuba	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg001.perseus-eng2	tlg0006.tlg001	Euripides	Q1206121	Cyclops	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg001/tlg0006.tlg001.perseus-eng2.xml	Edward P. Coleridge	1891	42136	7073	28	The Cyclops	Euripides	dramatic work	satyr play	play	100
tlg0006.tlg006.perseus-eng2	tlg0006.tlg006	Euripides	Q512802	Andromache	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg006/tlg0006.tlg006.perseus-eng2.xml	Edward P. Coleridge	1891	74605	12564	50	Andromache	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg008.perseus-eng2	tlg0006.tlg008	Euripides	Q672319	The Suppliants	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg008/tlg0006.tlg008.perseus-eng2.xml	E. P. Coleridge	1906	68250	12085	48	The Suppliants	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg012.perseus-eng2	tlg0006.tlg012	Euripides	Q540161	Electra	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg012/tlg0006.tlg012.perseus-eng2.xml	Edward P. Coleridge	1891	65875	12298	49	Electra	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg014.perseus-eng2	tlg0006.tlg014	Euripides	Q1248812	Helen	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg014/tlg0006.tlg014.perseus-eng2.xml	Edward P. Coleridge	1906	84591	15886	64	Helen	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg003.perseus-eng2	tlg0006.tlg003	Euripides	Q286381	Medea	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg003/tlg0006.tlg003.perseus-eng2.xml	Edward P. Coleridge	1906	76299	13940	56	Medea	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg005.perseus-eng2	tlg0006.tlg005	Euripides	Q375786	Hippolytus	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg005/tlg0006.tlg005.perseus-eng2.xml	Edward P. Coleridge	1906	78440	13562	54	Hippolytus	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg002.perseus-eng2	tlg0006.tlg002	Euripides	Q1246408	Alcestis	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg002/tlg0006.tlg002.perseus-eng2.xml	Edward P. Coleridge	1906	59592	11027	44	Alcestis	Euripides	dramatic work, literary work	tragicomedy, Greek tragedy	play	100
tlg0006.tlg011.perseus-eng2	tlg0006.tlg011	Euripides	Q1216943	The Trojan Women	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg011/tlg0006.tlg011.perseus-eng2.xml	Edward P. Coleridge	1906	65079	11943	48	The Trojan Women	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg016.perseus-eng2	tlg0006.tlg016	Euripides	Q663886	Orestes	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg016/tlg0006.tlg016.perseus-eng2.xml	Edward P. Coleridge	1891	85649	15749	63	Orestes	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg018.perseus-eng2	tlg0006.tlg018	Euripides	Q1233770	Iphigenia in Aulis	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg018/tlg0006.tlg018.perseus-eng2.xml	Edward P. Coleridge	1891	98059	17514	70	Iphigenia in Aulis	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg019.perseus-eng3	tlg0006.tlg019	Euripides	Q63721447	Rhesus	1	0	English	tlg0006	Q48305	-445	eng; lat	tlg0006/tlg019/tlg0006.tlg019.perseus-eng3.xml	Edward P. Coleridge	1906	132892	24264	97	Rhesus	Euripides	version, edition or translation, translation work			100
tlg0006.tlg017.perseus-eng2	tlg0006.tlg017	Euripides	Q934597	The Bacchae	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg017/tlg0006.tlg017.perseus-eng2.xml	T. A. Buckley	1850	67699	12158	49	Bacchae	Euripides	dramatic work	Greek tragedy	play	100
