file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0006.tlg019.perseus-eng3	tlg0006.tlg019	Euripides	Q63721447	Rhesus	1	0	English	tlg0006	Q48305	-445	eng; lat	tlg0006/tlg019/tlg0006.tlg019.perseus-eng3.xml	Edward P. Coleridge	1906	132892	24264	97	Rhesus	Euripides	version, edition or translation, translation work			100
tlg0006.tlg018.perseus-eng2	tlg0006.tlg018	Euripides	Q1233770	Iphigenia in Aulis	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg018/tlg0006.tlg018.perseus-eng2.xml	Edward P. Coleridge	1891	98059	17514	70	Iphigenia in Aulis	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg014.perseus-eng2	tlg0006.tlg014	Euripides	Q1248812	Helen	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg014/tlg0006.tlg014.perseus-eng2.xml	Edward P. Coleridge	1906	84591	15886	64	Helen	Euripides	dramatic work	Greek tragedy	play	100
tlg0008.tlg001.perseus-eng2	tlg0008.tlg001	Athenaeus	Q1244416	Deipnosophistae	1	0	English	tlg0008	Q294923	205	eng; grc	tlg0008/tlg001/tlg0008.tlg001.perseus-eng2.xml	Charles Duke Yonge	1854	3424234	433058	1732	The Deipnosophists	Athenaeus	written work		anthology	93
tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Isocrates	Q4774689	Antidosis	1	0	English	tlg0010	Q221182	-400	eng; grc	tlg0010/tlg019/tlg0010.tlg019.perseus-eng2.xml	George Norlin	1928	162891	29306	117	Antidosis	Isocrates	oration, literary work			100
tlg0010.tlg021.perseus-eng2	tlg0010.tlg021	Isocrates	Q87746403	Panathenaicus	1	0	English	tlg0010	Q221182	-400	eng; grc	tlg0010/tlg021/tlg0010.tlg021.perseus-eng2.xml	George Norlin	1928	179924	27655	111	Panathenaicus	Isocrates	literary work, oration			100
tlg0010.tlg011.perseus-eng2	tlg0010.tlg011	Isocrates	Q3893205	Panegyricus	1	0	English	tlg0010	Q221182	-400	eng; grc	tlg0010/tlg011/tlg0010.tlg011.perseus-eng2.xml	George Norlin	1928	138820	21059	84	Panegyricus	Isocrates	literary work, oration	panegyric		100
tlg0011.tlg007.perseus-eng2	tlg0011.tlg007	Sophocles	Q294001	Oedipus at Colonus	1	0	English	tlg0011	Q7235	-460	eng; grc	tlg0011/tlg007/tlg0011.tlg007.perseus-eng2.xml	Richard Jebb	1889	118991	16067	64	Oedipus at Colonus	Sophocles	dramatic work	Greek tragedy	play	100
tlg0011.tlg004.perseus-eng2	tlg0011.tlg004	Sophocles	Q148643	Oedipus Rex	1	0	English	tlg0011	Q7235	-460	eng; grc	tlg0011/tlg004/tlg0011.tlg004.perseus-eng2.xml	Richard Jebb	1887	104415	14265	57	Oedipus Tyrannus	Sophocles	dramatic work	Greek tragedy	play	89
tlg0011.tlg006.perseus-eng2	tlg0011.tlg006	Sophocles	Q1415903	Philoctetes	1	0	English	tlg0011	Q7235	-460	eng; grc	tlg0011/tlg006/tlg0011.tlg006.perseus-eng2.xml	Sir Richard Jebb; Richard Jebb	1898	101113	13938	56	Philoctetes	Sophocles	dramatic work	Greek tragedy	play	100
